,ride,VenID,PUID,PUhour,tot_rides,Zone,service_zone
0,FTD,B00029,3.0,0,2,Allerton/Pelham Gardens,Boro Zone
1,FTD,B00029,3.0,1,3,Allerton/Pelham Gardens,Boro Zone
2,FTD,B00029,3.0,2,1,Allerton/Pelham Gardens,Boro Zone
3,FTD,B00029,3.0,3,1,Allerton/Pelham Gardens,Boro Zone
4,FTD,B00029,3.0,5,1,Allerton/Pelham Gardens,Boro Zone
5,FTD,B00029,3.0,6,3,Allerton/Pelham Gardens,Boro Zone
6,FTD,B00029,32.0,6,1,Bronxdale,Boro Zone
7,FTD,B00029,51.0,0,1,Co-Op City,Boro Zone
8,FTD,B00029,51.0,3,2,Co-Op City,Boro Zone
9,FTD,B00029,51.0,4,1,Co-Op City,Boro Zone
10,FTD,B00029,51.0,5,3,Co-Op City,Boro Zone
11,FTD,B00029,51.0,6,1,Co-Op City,Boro Zone
12,FTD,B00029,78.0,3,1,East Tremont,Boro Zone
13,FTD,B00029,81.0,1,1,Eastchester,Boro Zone
14,FTD,B00029,81.0,2,3,Eastchester,Boro Zone
15,FTD,B00029,81.0,3,2,Eastchester,Boro Zone
16,FTD,B00029,81.0,4,7,Eastchester,Boro Zone
17,FTD,B00029,81.0,5,2,Eastchester,Boro Zone
18,FTD,B00029,81.0,6,8,Eastchester,Boro Zone
19,FTD,B00029,174.0,0,1,Norwood,Boro Zone
20,FTD,B00029,185.0,0,1,Pelham Parkway,Boro Zone
21,FTD,B00029,254.0,2,1,Williamsbridge/Olinville,Boro Zone
22,FTD,B00029,254.0,3,1,Williamsbridge/Olinville,Boro Zone
23,FTD,B00029,254.0,6,5,Williamsbridge/Olinville,Boro Zone
24,FTD,B00029,259.0,4,2,Woodlawn/Wakefield,Boro Zone
25,FTD,B00029,259.0,5,1,Woodlawn/Wakefield,Boro Zone
26,FTD,B00029,265.0,4,1,,
27,FTD,B00029,265.0,5,1,,
28,FTD,B00290,56.0,1,4,Corona,Boro Zone
29,FTD,B00290,56.0,2,2,Corona,Boro Zone
30,FTD,B00290,56.0,5,1,Corona,Boro Zone
31,FTD,B00290,57.0,6,1,Corona,Boro Zone
32,FTD,B00290,70.0,0,1,East Elmhurst,Boro Zone
33,FTD,B00290,70.0,3,1,East Elmhurst,Boro Zone
34,FTD,B00290,70.0,5,1,East Elmhurst,Boro Zone
35,FTD,B00290,82.0,1,1,Elmhurst,Boro Zone
36,FTD,B00290,82.0,2,1,Elmhurst,Boro Zone
37,FTD,B00290,82.0,4,1,Elmhurst,Boro Zone
38,FTD,B00290,82.0,6,1,Elmhurst,Boro Zone
39,FTD,B00290,129.0,0,5,Jackson Heights,Boro Zone
40,FTD,B00290,129.0,2,1,Jackson Heights,Boro Zone
41,FTD,B00290,129.0,3,1,Jackson Heights,Boro Zone
42,FTD,B00290,129.0,4,2,Jackson Heights,Boro Zone
43,FTD,B00290,129.0,5,1,Jackson Heights,Boro Zone
44,FTD,B00290,173.0,0,1,North Corona,Boro Zone
45,FTD,B00290,173.0,1,1,North Corona,Boro Zone
46,FTD,B00290,173.0,2,1,North Corona,Boro Zone
47,FTD,B00290,173.0,3,1,North Corona,Boro Zone
48,FTD,B00290,173.0,4,2,North Corona,Boro Zone
49,FTD,B00290,173.0,5,2,North Corona,Boro Zone
50,FTD,B00290,173.0,6,1,North Corona,Boro Zone
51,FTD,B00290,260.0,4,1,Woodside,Boro Zone
52,FTD,B00325,70.0,0,1,East Elmhurst,Boro Zone
53,FTD,B00325,70.0,1,3,East Elmhurst,Boro Zone
54,FTD,B00325,70.0,2,2,East Elmhurst,Boro Zone
55,FTD,B00325,70.0,3,1,East Elmhurst,Boro Zone
56,FTD,B00325,70.0,4,1,East Elmhurst,Boro Zone
