,ride,VenID,PUID,PUhour,tot_rides,Borough,service_zone
0,FTD,B00029,3.0,10,4,Bronx,Boro Zone
1,FTD,B00029,3.0,11,2,Bronx,Boro Zone
2,FTD,B00029,3.0,12,1,Bronx,Boro Zone
3,FTD,B00029,3.0,13,5,Bronx,Boro Zone
4,FTD,B00029,3.0,14,8,Bronx,Boro Zone
5,FTD,B00029,3.0,2,1,Bronx,Boro Zone
6,FTD,B00029,3.0,5,2,Bronx,Boro Zone
7,FTD,B00029,3.0,6,1,Bronx,Boro Zone
8,FTD,B00029,3.0,7,6,Bronx,Boro Zone
9,FTD,B00029,3.0,8,7,Bronx,Boro Zone
10,FTD,B00029,3.0,9,4,Bronx,Boro Zone
11,FTD,B00029,32.0,1,1,Bronx,Boro Zone
12,FTD,B00029,32.0,9,2,Bronx,Boro Zone
13,FTD,B00029,51.0,10,6,Bronx,Boro Zone
14,FTD,B00029,51.0,11,8,Bronx,Boro Zone
15,FTD,B00029,51.0,12,2,Bronx,Boro Zone
16,FTD,B00029,51.0,13,2,Bronx,Boro Zone
17,FTD,B00029,51.0,14,4,Bronx,Boro Zone
18,FTD,B00029,51.0,4,3,Bronx,Boro Zone
19,FTD,B00029,51.0,5,1,Bronx,Boro Zone
20,FTD,B00029,51.0,6,1,Bronx,Boro Zone
21,FTD,B00029,51.0,7,5,Bronx,Boro Zone
22,FTD,B00029,51.0,8,7,Bronx,Boro Zone
23,FTD,B00029,51.0,9,2,Bronx,Boro Zone
24,FTD,B00029,81.0,0,1,Bronx,Boro Zone
25,FTD,B00029,81.0,1,2,Bronx,Boro Zone
26,FTD,B00029,81.0,10,2,Bronx,Boro Zone
27,FTD,B00029,81.0,11,1,Bronx,Boro Zone
28,FTD,B00029,81.0,12,6,Bronx,Boro Zone
29,FTD,B00029,81.0,13,5,Bronx,Boro Zone
30,FTD,B00029,81.0,14,5,Bronx,Boro Zone
31,FTD,B00029,81.0,4,1,Bronx,Boro Zone
32,FTD,B00029,81.0,5,4,Bronx,Boro Zone
33,FTD,B00029,81.0,6,12,Bronx,Boro Zone
34,FTD,B00029,81.0,7,11,Bronx,Boro Zone
35,FTD,B00029,81.0,8,9,Bronx,Boro Zone
36,FTD,B00029,81.0,9,9,Bronx,Boro Zone
37,FTD,B00029,185.0,0,1,Bronx,Boro Zone
38,FTD,B00029,185.0,11,1,Bronx,Boro Zone
39,FTD,B00029,185.0,12,1,Bronx,Boro Zone
40,FTD,B00029,185.0,13,1,Bronx,Boro Zone
41,FTD,B00029,185.0,7,1,Bronx,Boro Zone
42,FTD,B00029,185.0,9,1,Bronx,Boro Zone
43,FTD,B00029,242.0,12,1,Bronx,Boro Zone
44,FTD,B00029,242.0,13,1,Bronx,Boro Zone
45,FTD,B00029,242.0,14,1,Bronx,Boro Zone
46,FTD,B00029,242.0,7,1,Bronx,Boro Zone
47,FTD,B00029,254.0,11,5,Bronx,Boro Zone
48,FTD,B00029,254.0,12,1,Bronx,Boro Zone
49,FTD,B00029,254.0,13,1,Bronx,Boro Zone
50,FTD,B00029,254.0,5,1,Bronx,Boro Zone
51,FTD,B00029,254.0,6,5,Bronx,Boro Zone
52,FTD,B00029,254.0,7,4,Bronx,Boro Zone
53,FTD,B00029,254.0,8,3,Bronx,Boro Zone
54,FTD,B00029,254.0,9,2,Bronx,Boro Zone
55,FTD,B00029,259.0,10,1,Bronx,Boro Zone
56,FTD,B00029,259.0,14,1,Bronx,Boro Zone
57,FTD,B00029,259.0,8,1,Bronx,Boro Zone
58,FTD,B00029,265.0,1,1,Unknown,
59,FTD,B00151 ,55.0,10,1,Brooklyn,Boro Zone
60,FTD,B00151 ,55.0,12,1,Brooklyn,Boro Zone
61,FTD,B00151 ,55.0,14,1,Brooklyn,Boro Zone
62,FTD,B00151 ,61.0,12,1,Brooklyn,Boro Zone
63,FTD,B00151 ,62.0,11,1,Brooklyn,Boro Zone
64,FTD,B00151 ,91.0,14,1,Brooklyn,Boro Zone
65,FTD,B00151 ,165.0,13,1,Brooklyn,Boro Zone
66,FTD,B00151 ,177.0,14,1,Brooklyn,Boro Zone
67,FTD,B00151 ,188.0,14,1,Brooklyn,Boro Zone
68,FTD,B00151 ,189.0,12,1,Brooklyn,Boro Zone
69,FTD,B00151 ,210.0,9,1,Brooklyn,Boro Zone
70,FTD,B00290,4.0,11,1,Manhattan,Yellow Zone
71,FTD,B00290,16.0,8,1,Queens,Boro Zone
72,FTD,B00290,56.0,0,1,Queens,Boro Zone
73,FTD,B00290,56.0,10,1,Queens,Boro Zone
74,FTD,B00290,56.0,12,1,Queens,Boro Zone
75,FTD,B00290,56.0,8,1,Queens,Boro Zone
76,FTD,B00290,56.0,9,3,Queens,Boro Zone
77,FTD,B00290,57.0,7,1,Queens,Boro Zone
78,FTD,B00290,70.0,2,1,Queens,Boro Zone
79,FTD,B00290,70.0,6,1,Queens,Boro Zone
80,FTD,B00290,70.0,7,1,Queens,Boro Zone
81,FTD,B00290,82.0,1,1,Queens,Boro Zone
82,FTD,B00290,82.0,13,1,Queens,Boro Zone
83,FTD,B00290,82.0,14,1,Queens,Boro Zone
84,FTD,B00290,82.0,8,1,Queens,Boro Zone
85,FTD,B00290,95.0,13,2,Queens,Boro Zone
86,FTD,B00290,129.0,11,2,Queens,Boro Zone
87,FTD,B00290,129.0,13,1,Queens,Boro Zone
88,FTD,B00290,129.0,5,2,Queens,Boro Zone
