,Zone,Lat,Lng
0,Bronxdale,40.8506558,-73.86652409999999
1,Eastchester,40.959560499999995,-73.8095574
2,Elmhurst,41.8994744,-87.9403418
3,North Corona,40.7502698,-73.8624893
4,Crown Heights North,35.512170000000005,-97.52914
5,Crown Heights South,40.6681032,-73.94479940000001
6,Prospect-Lefferts Gardens,40.6590448,-73.9506774
7,Prospect-Lefferts Gardens,40.6590448,-73.9506774
8,Windsor Terrace,40.6539346,-73.9756567
9,East Flatbush/Farragut,40.638525099999995,-73.9260253
10,Prospect-Lefferts Gardens,40.6590448,-73.9506774
11,Corona,33.8752935,-117.56643840000001
12,East Elmhurst,40.7737505,-73.8713099
13,North Corona,40.7502698,-73.8624893
14,Crown Heights North,35.512170000000005,-97.52914
15,Crown Heights South,40.6681032,-73.94479940000001
16,Howard Beach,40.6571222,-73.84299890000001
17,Prospect Heights,40.6774196,-73.9668408
18,Bronxdale,40.8506558,-73.86652409999999
19,Co-Op City,40.8738889,-73.8294444
20,Eastchester,40.959560499999995,-73.8095574
21,Williamsbridge/Olinville,40.8774767,-73.8664402
22,Woodlawn/Wakefield,40.895361,-73.862916
23,Jackson Heights,40.7556818,-73.88307009999998
24,Jackson Heights,40.7556818,-73.88307009999998
25,Flatbush/Ditmas Park,40.6409217,-73.96243270000001
26,Midwood,40.619062899999996,-73.9653715
27,Park Slope,40.6681038,-73.9805817
28,Prospect-Lefferts Gardens,40.6590448,-73.9506774
29,Bushwick North,40.6944282,-73.9212858
30,Ocean Hill,33.1600272,-117.2644629
31,East Elmhurst,40.7737505,-73.8713099
32,Elmhurst,41.8994744,-87.9403418
33,Sunnyside,36.732844,-119.7170466
34,Jackson Heights,40.7556818,-73.88307009999998
35,Bloomfield/Emerson Hill,42.60436370000001,-83.27561290000001
36,Port Richmond,39.9855402,-75.10372120000001
37,Saint George/New Brighton,40.6427017,-74.07994690000001
38,Astoria,40.764357399999994,-73.9234619
39,Bayside,43.1805645,-87.9006421
40,Bedford Park,41.7641723,-87.78125240000001
41,Belmont,36.132898100000006,-86.7940699
42,Boerum Hill,40.6848689,-73.98447220000001
43,Borough Park,40.6323009,-73.9888797
44,Briarwood/Jamaica Hills,40.714341,-73.802722
45,Brownsville,25.9017472,-97.4974838
46,Bushwick North,40.6944282,-73.9212858
47,Bushwick South,40.6944282,-73.9212858
48,Canarsie,40.6402325,-73.90605790000001
49,Central Harlem North,40.8142585,-73.9426617
50,Clinton East,38.7651145,-76.8983059
51,Clinton Hill,40.6893665,-73.9639021
52,Clinton West,41.487875,-81.71094699999999
53,Cobble Hill,40.686536,-73.9962255
54,Coney Island,40.5755438,-73.9707016
55,Crotona Park East,40.836637700000004,-73.89223879999999
56,Crown Heights North,35.512170000000005,-97.52914
57,Downtown Brooklyn/MetroTech,40.6931322,-73.986496
58,East Concourse/Concourse Village,40.8461819,-73.9095033
59,East Elmhurst,40.7737505,-73.8713099
60,East Flatbush/Farragut,40.638525099999995,-73.9260253
61,East Flatbush/Remsen Village,40.6468201,-73.9133089
62,East Harlem South,40.7957399,-73.9389213
63,East New York,40.656831200000006,-73.88307009999998
64,East Village,40.7264773,-73.9815337
65,East Williamsburg,40.715876200000004,-73.9330429
66,Elmhurst,41.8994744,-87.9403418
67,Flushing,40.767498700000004,-73.833079
68,Fordham South,40.8620404,-73.8856987
69,Fresh Meadows,40.7335179,-73.78014470000001
70,Gravesend,40.5910166,-73.977126
71,Greenpoint,40.7245448,-73.9418603
72,Greenwich Village South,40.7335719,-74.0027418
73,Hamilton Heights,40.8259597,-73.9496079
74,Inwood,40.867714500000005,-73.92120190000001
75,Jackson Heights,40.7556818,-73.88307009999998
76,Jamaica,18.109581,-77.297508
77,JFK Airport,40.6413111,-73.77813909999999
78,Kingsbridge Heights,40.872321899999996,-73.9006916
79,Lincoln Square West,40.7733055,-73.98145840000001
80,Lower East Side,40.715033,-73.98427240000001
81,Madison,43.07305170000001,-89.4012302
82,Marine Park/Mill Basin,40.6188928,-73.9246109
83,Morningside Heights,40.8089564,-73.96243270000001
84,Mott Haven/Port Morris,40.809106799999995,-73.9228881
85,Murray Hill-Queens,40.7665245,-73.8036752
86,Norwood,42.1943909,-71.19896949999999
87,Ozone Park,40.67940720000001,-73.85072790000001
88,Park Slope,40.6681038,-73.9805817
89,Pelham Bay Park,40.8505689,-73.8210182
90,Pelham Parkway,40.8553279,-73.8639594
91,Prospect-Lefferts Gardens,40.6590448,-73.9506774
92,Red Hook,40.677280200000006,-74.00944709999999
93,Ridgewood,40.9792645,-74.11653129999999
94,Saint George/New Brighton,40.6427017,-74.07994690000001
95,Schuylerville/Edgewater Park,40.8224661,-73.8110122
96,Sheepshead Bay,40.5975847,-73.9536163
97,South Williamsburg,40.70856920000001,-73.9701967
98,Spuyten Duyvil/Kingsbridge,40.87941970000001,-73.9074286
99,Steinway,40.780043799999994,-73.8996985
100,Stuyvesant Heights,42.3880474,-73.775696
101,Sunnyside,36.732844,-119.7170466
102,Sunset Park West,40.645532,-74.01238509999999
103,Times Sq/Theatre District,40.759011,-73.98447220000001
104,Two Bridges/Seward Park,40.7157874,-73.98920109999999
105,Union Sq,40.7358633,-73.9910835
106,University Heights/Morris Heights,40.8523957,-73.9135172
107,Upper East Side North,40.7735649,-73.9565551
108,Upper West Side North,40.7870106,-73.9753676
109,Washington Heights South,40.84170820000001,-73.9393554
110,West Chelsea/Hudson Yards,40.752559000000005,-74.002736
111,West Farms/Bronx River,40.8430609,-73.8816001
112,Williamsburg (North Side),40.7162857,-73.95838979999999
113,Williamsburg (South Side),40.71305,-73.957037
114,Alphabet City,40.725842799999995,-73.9774916
115,Astoria,40.764357399999994,-73.9234619
116,Auburndale,28.065297499999996,-81.7886906
117,Bath Beach,40.60454910000001,-74.004306
118,Battery Park City,40.7115786,-74.0158441
119,Bay Ridge,40.6261638,-74.0329499
120,Bedford,42.4906231,-71.27600890000001
121,Bedford Park,41.7641723,-87.78125240000001
122,Belmont,36.132898100000006,-86.7940699
123,Bensonhurst East,40.6112691,-73.9976946
124,Bensonhurst West,40.6112691,-73.9976946
125,Bloomingdale,41.957528499999995,-88.0809036
126,Boerum Hill,40.6848689,-73.98447220000001
127,Briarwood/Jamaica Hills,40.714341,-73.802722
128,Bronxdale,40.8506558,-73.86652409999999
129,Brooklyn Heights,40.6960105,-73.9932872
130,Brownsville,25.9017472,-97.4974838
131,Bushwick North,40.6944282,-73.9212858
132,Bushwick South,40.6944282,-73.9212858
133,Canarsie,40.6402325,-73.90605790000001
134,Carroll Gardens,40.6795331,-73.9991637
135,Central Harlem,48.5351455,-108.79122179999999
136,Central Harlem North,40.8142585,-73.9426617
137,Chinatown,37.794137799999994,-122.40779140000001
138,Clinton East,38.7651145,-76.8983059
139,Clinton Hill,40.6893665,-73.9639021
140,Clinton West,41.487875,-81.71094699999999
141,Co-Op City,40.8738889,-73.8294444
142,Cobble Hill,40.686536,-73.9962255
143,Coney Island,40.5755438,-73.9707016
144,Corona,33.8752935,-117.56643840000001
145,Crown Heights North,35.512170000000005,-97.52914
146,Crown Heights South,40.6681032,-73.94479940000001
147,Cypress Hills,40.683611799999994,-73.8801301
148,Downtown Brooklyn/MetroTech,40.6931322,-73.986496
149,DUMBO/Vinegar Hill,40.702754999999996,-73.98128840000001
150,Dyker Heights,40.6214932,-74.009584
151,East Chelsea,42.3180919,-84.02050290000001
152,East Concourse/Concourse Village,40.8461819,-73.9095033
153,East Elmhurst,40.7737505,-73.8713099
154,East Flatbush/Farragut,40.638525099999995,-73.9260253
155,East Flatbush/Remsen Village,40.6468201,-73.9133089
156,East Harlem North,40.7957399,-73.9389213
157,East Harlem South,40.7957399,-73.9389213
158,East New York,40.656831200000006,-73.88307009999998
159,East New York/Pennsylvania Avenue,40.6560923,-73.8886753
160,East Tremont,40.845378100000005,-73.8909693
161,East Village,40.7264773,-73.9815337
162,East Williamsburg,40.715876200000004,-73.9330429
163,Eastchester,40.959560499999995,-73.8095574
164,Elmhurst,41.8994744,-87.9403418
