Zone,Lat,Lng
Ozone Park,40.6794072,-73.8507279
Greenpoint,40.7245448,-73.9418603
Brooklyn Navy Yard,40.7020737,-73.9708292
Upper East Side North,40.7735649,-73.9565551
Kensington,39.0256651,-77.0763669
University Heights/Morris Heights,40.8523957,-73.9135172
Ridgewood,40.9792645,-74.1165313
Co-Op City,40.8738889,-73.8294444
Morrisania/Melrose,40.824545,-73.9104143
Central Harlem North,40.8142585,-73.9426617
Port Richmond,39.9855402,-75.1037212
Cobble Hill,40.686536,-73.9962255
Forest Park/Highland Park,42.3573145,-83.0441927
Roosevelt Island,40.7605031,-73.9509934
Hillcrest/Pomonok,40.721283,-73.805584
Meatpacking/West Village West,40.7409865,-74.0076108
Rego Park,40.7255722,-73.8624893
Washington Heights South,40.8417082,-73.9393554
Prospect-Lefferts Gardens,40.6590448,-73.9506774
Auburndale,28.0652975,-81.7886906
Gramercy,40.7367783,-73.9844722
Bay Ridge,40.6261638,-74.0329499
Central Harlem,48.5351455,-108.7912218
South Ozone Park,40.6764003,-73.8124984
Astoria,40.7643574,-73.9234619
Clinton Hill,40.6893665,-73.9639021
Saint George/New Brighton,40.6427017,-74.0799469
Gravesend,40.5910166,-73.977126
Saint Albans,38.3793695,-81.8191658
Crotona Park East,40.8366377,-73.8922388
Little Italy/NoLiTa,40.7205544,-73.996656
Soundview/Castle Hill,40.8271028,-73.8498925
Bedford,42.4906231,-71.2760089
Great Kills,40.5543273,-74.156292
Stuy Town/Peter Cooper Village,40.7316903,-73.9778494
Chinatown,37.7941378,-122.4077914
Murray Hill,40.7478792,-73.9756567
Corona,33.8752935,-117.5664384
West Village,40.735781,-74.0035709
East Elmhurst,40.7737505,-73.8713099
Old Astoria,46.1519015,-123.8579416
World Trade Center,40.7127431,-74.0133795
Ocean Hill,33.1600272,-117.2644629
Upper East Side South,40.7735649,-73.9565551
Cambria Heights,40.692158,-73.7330753
Queens Village,40.7156628,-73.7419017
Financial District North,37.7966676,-122.4055771
Jamaica,18.109581,-77.297508
East Flushing,40.7525589,-73.8095574
Bay Terrace/Fort Totten,40.7922167,-73.7760641
Rossville/Woodrow,40.5434385,-74.1976441
Bedford Park,41.7641723,-87.7812524
Homecrest,46.431465,-95.131433
Clinton West,41.487875,-81.710947
Highbridge,40.8384699,-73.9271644
Brooklyn Heights,40.6960105,-73.9932872
Hudson Sq,40.7265834,-74.0074731
Belmont,36.1328981,-86.7940699
Bushwick South,40.6944282,-73.9212858
East Chelsea,42.3180919,-84.0205029
UN/Turtle Bay South,40.7488758,-73.9680091
Midwood,40.6190629,-73.9653715
East Village,40.7264773,-73.9815337
Governor's Island/Ellis Island/Liberty Island,40.6894501,-74.016792
Melrose South,-32.8087635,138.1893045
Hunts Point,40.8120246,-73.8801301
Prospect Park,40.6602037,-73.9689558
Lower East Side,40.715033,-73.9842724
Bayside,43.1805645,-87.9006421
Flushing Meadows-Corona Park,40.7397136,-73.840785
West Concourse,28.4246526,-81.4695163
Pelham Bay,40.8505556,-73.8333333
Marine Park/Mill Basin,40.6188928,-73.9246109
Mariners Harbor,41.9181579,-73.9830383
Fort Greene,40.6920638,-73.9741874
Flatiron,40.7410605,-73.9896986
Upper West Side North,40.7870106,-73.9753676
Manhattanville,40.8169443,-73.9558333
East New York,40.6568312,-73.8830701
Allerton/Pelham Gardens,40.8651604,-73.8426731
Central Park,40.7828647,-73.9653551
Union Sq,40.7358633,-73.9910835
Erasmus,35.8870112,-85.1849641
Stuyvesant Heights,42.3880474,-73.775696
Astoria Park,40.7796684,-73.9215888
Bronxdale,40.8506558,-73.8665241
Newark Airport,40.6895314,-74.1744624
Country Club,37.6771779,-95.4922009
Jamaica Estates,40.7178539,-73.7742616
TriBeCa/Civic Center,40.7163649,-74.0123498
Forest Hills,40.718106,-73.8448469
Inwood,40.8677145,-73.9212019
Arden Heights,40.5567951,-74.1739057
South Jamaica,40.6808594,-73.7919103
Middle Village,40.717372,-73.87425
Bensonhurst East,40.6112691,-73.9976946
Greenwich Village South,40.7335719,-74.0027418
Upper West Side South,40.7870106,-73.9753676
Elmhurst,41.8994744,-87.9403418
Van Cortlandt Park,40.8979346,-73.8859514
Midtown East,40.7540369,-73.9668408
East Harlem South,40.7957399,-73.9389213
Schuylerville/Edgewater Park,40.8224661,-73.8110122
Bloomingdale,41.9575285,-88.0809036
Steinway,40.7800438,-73.8996985
Inwood Hill Park,40.8723448,-73.924384
Woodlawn/Wakefield,40.895361,-73.862916
Freshkills Park,40.5773669,-74.1861616
Ocean Parkway South,40.6130974,-73.9686455
Flatlands,40.6268432,-73.9330429
Greenwich Village North,40.7335719,-74.0027418
Sunset Park East,40.645532,-74.0123851
Sutton Place/Turtle Bay North,40.7571057,-73.9671102
Laurelton,40.6740861,-73.7448437
New Dorp/Midland Beach,40.57149,-74.0931627
South Beach/Dongan Hills,40.5829024,-74.0738631
Van Cortlandt Village,40.8979346,-73.8859514
Boerum Hill,40.6848689,-73.9844722
LaGuardia Airport,40.7769271,-73.8739659
Bushwick North,40.6944282,-73.9212858
Manhattan Valley,40.796989,-73.969707
Long Island City/Queens Plaza,40.7513473,-73.9410795
Whitestone,40.7920449,-73.8095574
West Brighton,40.6270298,-74.1093141
Brownsville,25.9017472,-97.4974838
Prospect Heights,40.6774196,-73.9668408
Madison,43.0730517,-89.4012302
Brighton Beach,40.5780706,-73.9596565
Red Hook,40.6772802,-74.0094471
City Island,40.8468202,-73.7874983
Howard Beach,40.6571222,-73.8429989
Westerleigh,40.621215,-74.1318094
Battery Park City,40.7115786,-74.0158441
Borough Park,40.6323009,-73.9888797
Jackson Heights,40.7556818,-73.8830701
Highbridge Park,40.8446296,-73.9329638
Midtown Center,42.7835541,-86.1113196
Sheepshead Bay,40.5975847,-73.9536163
Fordham South,40.8620404,-73.8856987
Lincoln Square West,40.7733055,-73.9814584
Bronx Park,40.8605932,-73.870666
Manhattan Beach,33.8847361,-118.4109089
South Williamsburg,40.7085692,-73.9701967
East Concourse/Concourse Village,40.8461819,-73.9095033
Hammels/Arverne,40.5880813,-73.8119929
Lenox Hill East,40.7662315,-73.9602312
East Harlem North,40.7957399,-73.9389213
Douglaston,40.768713,-73.7470765
Crown Heights South,40.6681032,-73.9447994
DUMBO/Vinegar Hill,40.702755,-73.9812884
Coney Island,40.5755438,-73.9707016
Kips Bay,40.7423292,-73.9800645
Garment District,42.3658911,-71.0929366
Morningside Heights,40.8089564,-73.9624327
Bloomfield/Emerson Hill,42.6043637,-83.2756129
Glendale,34.1425078,-118.255075
Cypress Hills,40.6836118,-73.8801301
Flushing,40.7674987,-73.833079
Charleston/Tottenville,40.5281967,-74.2355404
Washington Heights North,40.8417082,-73.9393554
College Point,40.786395,-73.8389657
West Farms/Bronx River,40.8430609,-73.8816001
Spuyten Duyvil/Kingsbridge,40.8794197,-73.9074286
Springfield Gardens North,40.6626441,-73.7683784
Elmhurst/Maspeth,40.737975,-73.8801301
Carroll Gardens,40.6795331,-73.9991637
Marble Hill,40.8761173,-73.9102628
Lincoln Square East,41.9257597,-87.6549782
North Corona,40.7502698,-73.8624893
Murray Hill-Queens,40.7665245,-73.8036752
East Tremont,40.8453781,-73.8909693
Sunnyside,36.732844,-119.7170466
Windsor Terrace,40.6539346,-73.9756567
Richmond Hill,40.6958108,-73.8272029
Glen Oaks,41.8924364,-85.4968205
Great Kills Park,40.5462096,-74.1238028
Financial District South,37.7911452,-122.3949468
Lenox Hill West,40.7662315,-73.9602312
Canarsie,40.6402325,-73.9060579
Starrett City,40.650167,-73.8836844
East Williamsburg,40.7158762,-73.9330429
Norwood,42.1943909,-71.1989695
Van Nest/Morris Park,40.845044,-73.8598069
Green-Wood Cemetery,40.6590043,-73.995602
Rosedale,33.8534421,-91.0278863
Midtown North,40.7649516,-73.9851039
Queensboro Hill,40.7674987,-73.833079
Marine Park/Floyd Bennett Field,40.5910174,-73.8906091
Baisley Park,40.6737751,-73.786025
Claremont/Bathgate,40.8412834,-73.9001573
